,,,,Player 1,,Player 2,,Player 3,,Player 4,
2022-06-08,Łódź,5,4,PLGS001,31500,PLXX014,11400,PLXX019,-28500,PLRZ002,-14400
2022-06-08,Łódź,5,5,PLPZ004,-15200,PLXX022,13900,PLKA004,-32800,PLLD004,34100
2022-06-08,Łódź,6,1,PLGS001,27200,GBXX007,-27100,PLKA004,15400,PLLD004,-15500
2022-06-08,Łódź,6,2,PLXX008,44400,PLXX014,6500,PLXX017,-38800,PLRZ001,-12100
2022-06-08,Łódź,6,3,PLKA002,7900,PLPZ004,31200,PLXX030,-13200,PLRZ002,-25900
2022-06-08,Łódź,6,4,PLXX019,29400,PLXX026,-30600,PLGS004,-13400,PLPZ008,14600
2022-06-08,Łódź,6,5,PLLD002,4700,PLXX022,-21100,PLLD005,23600,PLXX029,-7200
2022-06-08,Łódź,7,1,PLGS001,21700,PLXX017,-23000,PLXX022,-9100,PLGS004,10400
2022-06-08,Łódź,7,2,PLPZ004,41900,PLXX014,-43500,GBXX007,20900,PLXX026,-19300
2022-06-08,Łódź,7,3,PLXX008,-24900,PLLD002,-39700,PLXX019,7400,PLRZ002,57200
2022-06-08,Łódź,7,4,PLKA004,68800,PLLD005,-49100,PLPZ008,4500,PLXX030,-24200
2022-06-08,Łódź,7,5,PLKA002,-17800,PLRZ001,11900,PLXX029,-33500,PLLD004,19400
2022-06-18,Cologne,1,1,GBXX023,-14600,BEXX027,7700,BEWRL01,-26400,BEXX023,33300
2022-06-18,Cologne,1,2,ROXX005,-3100,DECO001,7800,ROXX003,-43600,CAWC001,38900
2022-06-18,Cologne,1,3,XXXX001,37200,ATVI002,-37500,DEXX023,-17900,DEXX013,18200
2022-06-18,Cologne,1,4,BEXX004,-5100,DEXX037,25600,BEWRL05,14100,BEWRL03,-34600
2022-06-18,Cologne,1,5,BEXX021,7500,BEXX003,33000,DEXX025,-32800,IEXX001,-7700
2022-06-18,Cologne,1,6,BEXX009,43800,DEXX046,-30400,DECO002,1500,NLXX003,-14900
2022-06-18,Cologne,1,7,CHWC002,-8000,NLXX002,11100,BEXX010,23700,ROWC001,-26800
2022-06-18,Cologne,1,8,DEXX008,-9300,DEXX016,6100,BEXX020,29800,BEXX036,-26600
2022-06-18,Cologne,1,9,ATXX003,-30400,ROXX004,32500,DEXX071,-7100,BEXX035,5000
2022-06-18,Cologne,1,10,NLXX001,42800,BEXX002,-17900,DEXX070,-40700,BEXX031,15800
2022-06-18,Cologne,2,1,DEXX070,16300,BEXX010,28400,DECO002,-38300,BEWRL03,-6400
2022-06-18,Cologne,2,2,BEXX004,32400,XXXX001,14400,DECO001,-35200,ROWC001,-11600
2022-06-18,Cologne,2,3,DEXX008,28600,BEWRL01,7300,NLXX002,-31300,DEXX013,-4600
2022-06-18,Cologne,2,4,DEXX016,-7700,ROXX004,26800,DEXX023,-29000,IEXX001,9900
2022-06-18,Cologne,2,5,BEXX021,-26900,NLXX001,24200,DEXX037,13900,BEXX020,-11200
2022-06-18,Cologne,2,6,CHWC002,86600,DEXX025,-33800,ATXX003,-8100,BEXX009,-44700
2022-06-18,Cologne,2,7,BEXX003,-23500,BEXX023,7100,BEWRL05,19400,CAWC001,-3000
2022-06-18,Cologne,2,8,GBXX023,8900,DEXX046,-1700,DEXX071,-26300,ROXX003,19100
2022-06-18,Cologne,2,9,BEXX027,-29000,BEXX002,12400,BEXX036,-15500,NLXX003,32100
2022-06-18,Cologne,2,10,ROXX005,-5300,ATVI002,-45200,BEXX035,10200,BEXX031,40300
2022-06-18,Cologne,3,1,ROXX005,3300,BEXX020,-23000,ROXX004,-8400,BEXX002,28100
2022-06-18,Cologne,3,2,NLXX001,-13100,XXXX001,2400,BEXX035,-28600,BEWRL03,39300
2022-06-18,Cologne,3,3,GBXX023,-8500,NLXX002,-27000,DECO002,3500,CAWC001,32000
2022-06-18,Cologne,3,4,ATVI002,-11100,DEXX070,34100,NLXX003,-22500,ROXX003,-500
2022-06-18,Cologne,3,5,DEXX016,20600,BEWRL05,33500,DECO001,-33500,BEXX010,-20600
2022-06-18,Cologne,3,6,DEXX037,43500,DEXX025,-14700,DEXX013,5000,ROWC001,-33800
2022-06-18,Cologne,3,7,BEXX021,-20300,DEXX008,-20300,DEXX046,13000,DEXX023,27600
2022-06-18,Cologne,3,8,BEXX004,23000,BEXX027,-23000,BEXX009,-8400,DEXX071,8400
2022-06-18,Cologne,3,9,ATXX003,-27700,BEXX023,13200,BEXX036,-34100,IEXX001,28600
2022-06-18,Cologne,3,10,BEXX003,-5900,CHWC002,33900,BEWRL01,-35300,BEXX031,7300
2022-06-18,Cologne,4,1,BEXX027,6500,BEWRL05,37700,BEXX035,-32300,DEXX013,-11900
2022-06-18,Cologne,4,2,CHWC002,48700,DEXX037,-11000,IEXX001,-100,DEXX071,-37600
2022-06-18,Cologne,4,3,NLXX001,-35300,DEXX016,33500,NLXX002,7700,NLXX003,-5900
2022-06-18,Cologne,4,4,BEXX003,-3200,GBXX023,-43500,DECO001,19600,BEXX036,7100
2022-06-18,Cologne,4,5,BEWRL01,-50700,DEXX023,-6000,DECO002,-28300,ROWC001,85800
2022-06-18,Cologne,4,6,BEXX021,-6700,BEXX009,35800,ATVI002,-35200,CAWC001,6100
2022-06-18,Cologne,4,7,DEXX008,-6400,ROXX005,7400,ATXX003,-24900,BEXX010,23900
2022-06-18,Cologne,4,8,DEXX025,3200,BEXX002,48200,DEXX046,-44000,BEWRL03,-7400
2022-06-18,Cologne,4,9,BEXX004,18700,BEXX020,-8100,BEXX023,8500,DEXX070,-19100
2022-06-18,Cologne,4,10,ROXX004,-14700,XXXX001,-33800,ROXX003,15200,BEXX031,33300
2022-06-18,Cologne,5,1,CHWC002,-21900,BEXX036,-6100,ROXX003,21900,BEWRL03,6100
2022-06-18,Cologne,5,2,ROXX005,-7800,DEXX046,31200,BEXX023,-31200,ROWC001,7800
2022-06-18,Cologne,5,3,BEXX009,-29100,DECO001,28900,DEXX070,8800,DEXX013,-8600
2022-06-18,Cologne,5,4,BEXX004,-1800,NLXX002,27000,ATVI002,-34900,IEXX001,9700
2022-06-18,Cologne,5,5,DEXX037,-17800,BEWRL01,44100,ROXX004,-44300,NLXX003,18000
2022-06-18,Cologne,5,6,NLXX001,-28600,ATXX003,-3700,BEWRL05,5000,DEXX023,7300
2022-06-18,Cologne,5,7,BEXX003,-9400,BEXX020,-26400,XXXX001,29600,DECO002,6200
2022-06-18,Cologne,5,8,DEXX008,21500,BEXX002,10600,DEXX071,-3100,CAWC001,-29000
2022-06-18,Cologne,5,9,GBXX023,-39800,DEXX016,27500,DEXX025,-2500,BEXX035,14800
2022-06-18,Cologne,5,10,BEXX021,27300,BEXX027,-23700,BEXX010,4600,BEXX031,-8200
2022-06-18,Cologne,6,1,BEXX027,19900,DEXX070,-20400,IEXX001,33500,CAWC001,-33000
2022-06-18,Cologne,6,2,NLXX002,-35800,ROXX004,-800,BEXX009,26200,BEWRL03,10400
2022-06-18,Cologne,6,3,DEXX008,1800,BEXX023,31000,XXXX001,-11100,NLXX003,-21700
2022-06-18,Cologne,6,4,BEXX021,-13200,ATXX003,-24600,BEXX002,24500,ROWC001,13300
2022-06-18,Cologne,6,5,BEXX020,-41700,DEXX025,-10800,BEWRL05,17700,ROXX003,34800
2022-06-18,Cologne,6,6,BEXX003,7600,DEXX016,-11100,ATVI002,-26700,DEXX071,30200
2022-06-18,Cologne,6,7,BEWRL01,42000,DEXX046,-41000,DECO001,16700,BEXX035,-17700
2022-06-18,Cologne,6,8,GBXX023,-22300,NLXX001,-7500,BEXX010,23600,DEXX013,6200
2022-06-18,Cologne,6,9,BEXX004,-12000,CHWC002,33500,ROXX005,-41600,DEXX023,20100
2022-06-18,Cologne,6,10,DEXX037,-30700,BEXX036,23700,DECO002,9900,BEXX031,-2900
2022-06-18,Cologne,7,1,BEXX021,25200,BEXX004,-8700,DECO002,-22000,BEXX035,5500
2022-06-18,Cologne,7,2,ROXX005,28500,DEXX037,-8700,DEXX016,-42500,BEXX027,52700
2022-06-18,Cologne,7,3,BEXX003,-7500,ROXX004,-18900,DEXX070,3400,ROWC001,23000
2022-06-18,Cologne,7,4,GBXX023,24700,CHWC002,-10200,BEXX002,-22900,XXXX001,8400
2022-06-18,Cologne,7,5,BEXX023,-12700,DEXX071,-23400,DEXX013,8400,BEWRL03,27700
2022-06-18,Cologne,7,6,NLXX001,-5700,BEWRL01,20800,IEXX001,7700,ROXX003,-22800
2022-06-18,Cologne,7,7,BEXX020,-5300,NLXX002,-29200,ATXX003,8000,DECO001,26500
2022-06-18,Cologne,7,8,DEXX046,27700,ATVI002,-5500,BEXX036,-34000,BEXX010,11800
2022-06-18,Cologne,7,9,DEXX025,-7800,DEXX023,-33800,NLXX003,14800,CAWC001,26800
2022-06-18,Cologne,7,10,DEXX008,-23200,BEXX009,-12000,BEWRL05,5100,BEXX031,30100
2022-06-18,Cologne,8,1,CHWC002,-35400,DEXX016,32700,DECO002,-17800,DEXX013,20500
2022-06-18,Cologne,8,2,BEXX003,13000,DEXX037,26200,ATXX003,-26000,DEXX046,-13200
2022-06-18,Cologne,8,3,NLXX001,-33000,BEXX027,30400,DEXX025,-15200,DECO001,17800
2022-06-18,Cologne,8,4,BEXX002,-5700,BEXX023,9500,DEXX023,-25300,BEXX010,21500
2022-06-18,Cologne,8,5,BEXX021,9200,NLXX002,31200,DEXX070,-9900,DEXX071,-30500
2022-06-18,Cologne,8,6,BEXX004,-20000,BEWRL01,-7500,BEXX036,3900,CAWC001,23600
2022-06-18,Cologne,8,7,GBXX023,-20800,ROXX004,4100,BEWRL05,22800,ATVI002,-6100
2022-06-18,Cologne,8,8,DEXX008,-35800,BEXX035,-24200,ROXX003,42700,ROWC001,17300
2022-06-18,Cologne,8,9,ROXX005,-7200,BEXX009,-17600,XXXX001,21500,IEXX001,3300
2022-06-18,Cologne,8,10,BEXX020,34000,NLXX003,-31100,BEWRL03,-6800,BEXX031,3900
2022-07-30,Leuven,1,1,BEXX014,-9100,BEWRL05,50100,CHWC002,8700,BEXX005,-49700
2022-07-30,Leuven,1,2,BEXX003,22400,BEXX050,-43300,BEXX051,7400,BEXX052,-6500
2022-07-30,Leuven,1,3,BEXX006,-10800,BEWRL03,29800,BEXX023,-21200,BEXX053,2200
2022-07-30,Leuven,1,4,BEXX011,-14300,BEXX049,42700,BEXX020,-29400,BEXX044,1000
2022-07-30,Leuven,1,5,BEXX002,-3000,BEXX048,-34300,BEXX010,26700,BEXX008,10600
2022-07-30,Leuven,2,1,BEXX003,-21900,BEWRL03,-5100,BEXX020,20500,BEXX008,6500
2022-07-30,Leuven,2,2,BEXX006,-4500,BEXX049,21100,BEXX010,-27500,BEXX005,10900
2022-07-30,Leuven,2,3,BEXX011,-13300,BEXX048,-58900,CHWC002,63700,BEXX052,8500
2022-07-30,Leuven,2,4,BEXX002,-21000,BEWRL05,8700,BEXX051,21800,BEXX053,-9500
2022-07-30,Leuven,2,5,BEXX014,-15000,BEXX050,56300,BEXX023,8400,BEXX044,-49700
2022-07-30,Leuven,3,1,BEXX006,25000,BEXX048,-21800,BEXX051,8300,BEXX044,-11500
2022-07-30,Leuven,3,2,BEXX011,-7600,BEWRL05,-18900,BEXX023,5000,BEXX008,21500
2022-07-30,Leuven,3,3,BEXX002,40200,BEXX050,11000,BEXX020,-30900,BEXX005,-20300
2022-07-30,Leuven,3,4,BEXX014,-33900,BEWRL03,39900,BEXX010,-11700,BEXX052,5700
2022-07-30,Leuven,3,5,BEXX003,-55800,BEXX049,20700,CHWC002,40100,BEXX053,-5000
2022-07-30,Leuven,4,1,BEXX011,27700,BEXX050,15800,BEXX010,-39100,BEXX053,-4400
2022-07-30,Leuven,4,2,BEXX002,-8300,BEWRL03,10800,CHWC002,40000,BEXX044,-42500
2022-07-30,Leuven,4,3,BEXX014,7100,BEXX049,-11900,BEXX051,-27400,BEXX008,32200
2022-07-30,Leuven,4,4,BEXX003,35800,BEXX048,2300,BEXX023,-8000,BEXX005,-30100
2022-07-30,Leuven,4,5,BEXX006,-32800,BEWRL05,9200,BEXX020,29200,BEXX052,-5600
2022-08-24,Vienna,1,1,JPWC021,-25800,ATXX009,-10100,HKWC001,27900,PLXX032,8000
2022-08-24,Vienna,1,2,JPWC018,-7500,FRXX004,21400,USWC002,10000,UAXX003,-23900
2022-08-24,Vienna,1,3,USWC004,-31600,ATXX005,-2800,JPWC033,11500,PLGS001,21900
2022-08-24,Vienna,1,4,JPWC017,41000,GBWC003,-37900,TWWC002,3700,FIWC003,-6800
2022-08-24,Vienna,1,5,JPWC011,12800,ITWC001,-30800,SGWC002,-5100,DKWC004,23100
2022-08-24,Vienna,1,6,JPWC010,29800,GBWC004,-22800,INWC002,-11600,SEWC001,4600
2022-08-24,Vienna,1,7,JPWC005,18700,DECO001,-2700,USWC011,-24100,NOWC001,8100
2022-08-24,Vienna,1,8,JPWC019,300,ROWC001,44400,ITWC004,-27400,UAXX004,-17300
2022-08-24,Vienna,1,9,JPWC008,-36000,GBWC001,-13300,USWC003,9200,NOWC003,10100
2022-08-24,Vienna,1,10,JPWC013,24500,BEXX004,12000,CAWC001,-24100,DKWC003,-12400
2022-08-24,Vienna,1,11,JPWC016,4800,FRWC004,-7600,AUWC004,24800,NOWC002,-22000
2022-08-24,Vienna,1,12,JPWC031,27700,DEWC002,-24500,USWC007,6900,SEXX001,-10100
2022-08-24,Vienna,1,13,JPWC030,-29200,ATXX010,-4500,JPWC035,27400,UAXX002,6300
2022-08-24,Vienna,1,14,JPWC009,27100,ATXX001,-36400,CLWC001,12400,PLGS003,-3100
2022-08-24,Vienna,1,15,JPWC003,-22500,HUWC001,9800,AUWC002,23900,RUWC001,-11200
2022-08-24,Vienna,1,16,JPWC014,-20400,BEXX001,39700,AUWC001,19600,SKXX001,-38900
2022-08-24,Vienna,1,17,JPWC025,4900,IEXX001,18100,USWC010,-17400,GBXX007,-5600
2022-08-24,Vienna,1,18,JPWC026,-24700,GBXX016,25300,HKWC003,6100,DKWC001,-6700
2022-08-24,Vienna,1,19,JPWC028,-5400,FRWC005,-28500,HKWC002,23900,UAXX011,9000
2022-08-24,Vienna,1,20,JPWC015,39700,DEWC001,-21400,URWC001,-31700,RUWC002,13400
2022-08-24,Vienna,1,21,USWC001,-27400,BEXX003,10100,INWC001,22700,PLGS006,-5400
2022-08-24,Vienna,1,22,JPWC007,28700,ATVI001,-22600,TWWC001,-10300,SKXX005,4200
2022-08-24,Vienna,1,23,ATXX003,-13100,GBXX018,17600,USWC008,31600,SKXX002,-36100
2022-08-24,Vienna,1,24,JPWC012,-5000,FRWC002,18200,USWC013,-18500,RUXX001,5300
2022-08-24,Vienna,1,25,JPWC023,4300,ITWC003,-33600,CLWC002,44700,SEWC002,-45400
2022-08-24,Vienna,1,26,GBWC002,18300,PT00001,-6200,ARWC001,-17000,UAXX005,4900
2022-08-24,Vienna,1,27,JPWC029,1400,CHWC001,-28000,SGWC003,-11900,GBWC005,38500
2022-08-24,Vienna,1,28,USWC005,23700,NLWC005,-6800,CLWC003,-21600,FIXX001,4700
2022-08-24,Vienna,1,29,JPWC001,14800,ITWC002,-5200,ARWC002,14800,FRWC006,-24400
2022-08-24,Vienna,1,30,JPWC002,28400,FRWC001,-26300,AUWC003,10700,DKXX003,-12800
2022-08-24,Vienna,1,31,JPWC024,-34400,NLWC002,39500,BRWC003,-18100,UAXX006,13000
2022-08-24,Vienna,1,32,JPWC022,34300,NLWC004,3600,SGWC001,-8700,DKWC002,-29200
2022-08-24,Vienna,1,33,JPWC020,-6800,BEXX002,9400,USWC009,-18900,PLXX040,7300
2022-08-24,Vienna,1,34,JPWC032,6500,NLWC001,23300,USWC012,-20600,IRWC001,-9200
2022-08-24,Vienna,1,35,USWC006,5400,FRWC003,30800,CAWC002,-26000,FIWC002,-10200
2022-08-24,Vienna,1,36,JPWC004,-20800,NLWC003,-8500,BRWC002,9000,PLGS002,20300
2022-08-24,Vienna,1,37,JPWC027,38400,DEXX007,-22600,JPWC034,-39300,FIXX003,23500
2022-08-24,Vienna,1,38,JPWC006,-31300,ESXX001,-6200,BRWC001,11800,FIWC001,25700
2022-08-24,Vienna,2,1,JPWC006,27600,DEXX007,-1400,BRWC002,-1400,FIWC002,-24800
2022-08-24,Vienna,2,2,JPWC021,-52700,ESXX001,-4000,JPWC034,35100,PLGS002,21600
2022-08-24,Vienna,2,3,JPWC018,-37200,ATXX009,25100,BRWC001,200,FIXX003,11900
2022-08-24,Vienna,2,4,USWC004,47700,FRXX004,-31800,HKWC001,-2900,FIWC001,-13000
2022-08-24,Vienna,2,5,JPWC017,9100,ATXX005,-30200,USWC002,27000,PLXX032,-5900
2022-08-24,Vienna,2,6,JPWC011,21200,GBWC003,7900,JPWC033,-24500,UAXX003,-34600
2022-08-24,Vienna,2,7,JPWC010,7200,ITWC001,-10000,TWWC002,29100,PLGS001,-26300
2022-08-24,Vienna,2,8,JPWC005,50500,GBWC004,34300,SGWC002,-61200,FIWC003,-23600
2022-08-24,Vienna,2,9,JPWC019,27600,DECO001,-7700,INWC002,-25700,DKWC004,5800
2022-08-24,Vienna,2,10,JPWC008,25100,ROWC001,-10300,USWC011,-29800,SEWC001,13000
2022-08-24,Vienna,2,11,JPWC013,41500,GBWC001,4200,ITWC004,-8600,NOWC001,-37100
2022-08-24,Vienna,2,12,JPWC016,24200,BEXX004,-19200,USWC003,-7900,UAXX004,2900
2022-08-24,Vienna,2,13,JPWC031,-4100,FRWC004,7500,CAWC001,28700,NOWC003,-32100
2022-08-24,Vienna,2,14,JPWC030,-9400,DEWC002,14000,AUWC004,-31500,DKWC003,26900
2022-08-24,Vienna,2,15,JPWC009,43200,ATXX010,-27300,USWC007,-16600,NOWC002,700
2022-08-24,Vienna,2,16,JPWC003,-43100,ATXX001,19900,JPWC035,36400,SEXX001,-13200
2022-08-24,Vienna,2,17,JPWC014,11100,HUWC001,-10900,CLWC001,-33700,UAXX002,33500
2022-08-24,Vienna,2,18,JPWC025,13300,BEXX001,-7800,AUWC002,-29100,PLGS003,23600
2022-08-24,Vienna,2,19,JPWC026,-6900,IEXX001,-41000,AUWC001,29400,RUWC001,18500
2022-08-24,Vienna,2,20,JPWC028,-9400,GBXX016,-24900,USWC010,25500,SKXX001,8800
2022-08-24,Vienna,2,21,JPWC015,-2100,FRWC005,10500,HKWC003,22300,GBXX007,-30700
2022-08-24,Vienna,2,22,USWC001,-29000,DEWC001,32000,HKWC002,-6700,DKWC001,3700
2022-08-24,Vienna,2,23,JPWC007,35000,BEXX003,8900,URWC001,-29700,UAXX011,-14200
2022-08-24,Vienna,2,24,ATXX003,-900,ATVI001,-44500,INWC001,16100,RUWC002,29300
2022-08-24,Vienna,2,25,JPWC012,26900,GBXX018,-10600,TWWC001,7500,PLGS006,-23800
2022-08-24,Vienna,2,26,JPWC023,24300,FRWC002,-2800,USWC008,-31500,SKXX005,10000
2022-08-24,Vienna,2,27,GBWC002,6400,ITWC003,-27300,USWC013,30500,SKXX002,-9600
2022-08-24,Vienna,2,28,JPWC029,32100,PT00001,-1500,CLWC002,11200,RUXX001,-41800
2022-08-24,Vienna,2,29,USWC005,50900,CHWC001,-43500,ARWC001,16100,SEWC002,-23500
2022-08-24,Vienna,2,30,JPWC001,-7000,NLWC005,-47000,SGWC003,38000,UAXX005,16000
2022-08-24,Vienna,2,31,JPWC002,24100,ITWC002,-24600,CLWC003,-6600,GBWC005,7100
2022-08-24,Vienna,2,32,JPWC024,-45400,FRWC001,6800,ARWC002,-19000,FIXX001,56600
2022-08-24,Vienna,2,33,JPWC022,49600,NLWC002,-14700,AUWC003,-3900,FRWC006,-31000
2022-08-24,Vienna,2,34,JPWC020,31300,NLWC004,-8900,BRWC003,-24900,DKXX003,2500
2022-08-24,Vienna,2,35,JPWC032,21700,BEXX002,9000,SGWC001,-21800,UAXX006,-9900
2022-08-24,Vienna,2,36,USWC006,1900,NLWC001,-69500,USWC009,21200,DKWC002,46400
2022-08-24,Vienna,2,37,JPWC004,-19100,FRWC003,72500,USWC012,-5800,PLXX040,-48600
2022-08-24,Vienna,2,38,JPWC027,24500,NLWC003,11100,CAWC002,-3800,IRWC001,-61800
2022-08-24,Vienna,3,1,JPWC027,-27100,FRWC003,-10100,USWC009,5500,UAXX006,31700
2022-08-24,Vienna,3,2,JPWC006,3700,NLWC003,-9600,USWC012,49500,DKWC002,-43600
2022-08-24,Vienna,3,3,JPWC021,-4900,DEXX007,-35500,CAWC002,33800,PLXX040,6600
2022-08-24,Vienna,3,4,JPWC018,-23200,ESXX001,21300,BRWC002,9900,IRWC001,-8000
2022-08-24,Vienna,3,5,USWC004,23700,ATXX009,-27100,JPWC034,-5800,FIWC002,-20800
2022-08-24,Vienna,3,6,JPWC017,19000,FRXX004,29100,BRWC001,-41100,PLGS002,-7000
2022-08-24,Vienna,3,7,JPWC011,16900,ATXX005,-36700,HKWC001,31400,FIXX003,-11600
2022-08-24,Vienna,3,8,JPWC010,12500,GBWC003,-24900,USWC002,23100,FIWC001,-10700
2022-08-24,Vienna,3,9,JPWC005,-6500,ITWC001,-22100,JPWC033,8400,PLXX032,20200
2022-08-24,Vienna,3,10,JPWC019,-31200,GBWC004,-17300,TWWC002,16800,UAXX003,31700
2022-08-24,Vienna,3,11,JPWC008,32400,DECO001,-40300,SGWC002,-7800,PLGS001,15700
2022-08-24,Vienna,3,12,JPWC013,33700,ROWC001,-3700,INWC002,-38600,FIWC003,8600
2022-08-24,Vienna,3,13,JPWC016,8000,GBWC001,-20500,USWC011,-8700,DKWC004,21200
2022-08-24,Vienna,3,14,JPWC031,-19400,BEXX004,-6600,ITWC004,21500,SEWC001,4500
2022-08-24,Vienna,3,15,JPWC030,-17100,FRWC004,-31400,USWC003,17900,NOWC001,30600
2022-08-24,Vienna,3,16,JPWC009,-48500,DEWC002,-19100,CAWC001,21400,UAXX004,46200
2022-08-24,Vienna,3,17,JPWC003,-6500,ATXX010,8200,AUWC004,41000,NOWC003,-42700
2022-08-24,Vienna,3,18,JPWC014,28500,ATXX001,-27900,USWC007,11200,DKWC003,-11800
2022-08-24,Vienna,3,19,JPWC025,-12000,HUWC001,47600,JPWC035,-52100,NOWC002,16500
2022-08-24,Vienna,3,20,JPWC026,11200,BEXX001,-9100,CLWC001,-28500,SEXX001,26400
2022-08-24,Vienna,3,21,JPWC028,14400,IEXX001,-47500,AUWC002,-7800,UAXX002,40900
2022-08-24,Vienna,3,22,JPWC015,-21500,GBXX016,4200,AUWC001,-9400,PLGS003,26700
2022-08-24,Vienna,3,23,USWC001,-30800,FRWC005,8200,USWC010,-3000,RUWC001,25600
2022-08-24,Vienna,3,24,JPWC007,-37300,DEWC001,-2100,HKWC003,27700,SKXX001,10700
2022-08-24,Vienna,3,25,ATXX003,50500,BEXX003,11000,HKWC002,-41400,GBXX007,-20100
2022-08-24,Vienna,3,26,JPWC012,34000,ATVI001,-13400,URWC001,13400,DKWC001,-34000
2022-08-24,Vienna,3,27,JPWC023,-15400,GBXX018,-28400,INWC001,8800,UAXX011,35000
2022-08-24,Vienna,3,28,GBWC002,33500,FRWC002,-17200,TWWC001,23400,RUWC002,-39700
2022-08-24,Vienna,3,29,JPWC029,39100,ITWC003,-35200,USWC008,13200,PLGS006,-17100
2022-08-24,Vienna,3,30,USWC005,8100,PT00001,-15300,USWC013,-29500,SKXX005,35700
2022-08-24,Vienna,3,31,JPWC001,11100,CHWC001,-23200,CLWC002,-41600,SKXX002,23700
2022-08-24,Vienna,3,32,JPWC002,32100,NLWC005,-23500,ARWC001,3000,RUXX001,-11600
2022-08-24,Vienna,3,33,JPWC024,-3400,ITWC002,21000,SGWC003,9800,SEWC002,-27400
2022-08-24,Vienna,3,34,JPWC022,11100,FRWC001,29700,CLWC003,-29300,UAXX005,-11500
2022-08-24,Vienna,3,35,JPWC020,-13400,NLWC002,39100,ARWC002,-27500,GBWC005,1800
2022-08-24,Vienna,3,36,JPWC032,-6100,NLWC004,22800,AUWC003,-24400,FIXX001,7700
2022-08-24,Vienna,3,37,USWC006,37400,BEXX002,-32600,BRWC003,15100,FRWC006,-19900
2022-08-24,Vienna,3,38,JPWC004,-6600,NLWC001,-46500,SGWC001,36100,DKXX003,17000
2022-08-24,Vienna,4,1,JPWC004,-10800,BEXX002,-31300,AUWC003,28300,GBWC005,9800
2022-08-24,Vienna,4,2,JPWC027,33000,NLWC001,-13500,BRWC003,-29600,FIXX001,9100
2022-08-24,Vienna,4,3,JPWC006,-39000,FRWC003,27700,SGWC001,16400,FRWC006,-5100
2022-08-24,Vienna,4,4,JPWC021,-20300,NLWC003,17800,USWC009,-4200,DKXX003,6700
2022-08-24,Vienna,4,5,JPWC018,33400,DEXX007,600,USWC012,-10800,UAXX006,-23200
2022-08-24,Vienna,4,6,USWC004,-38200,ESXX001,13300,CAWC002,-9300,DKWC002,34200
2022-08-24,Vienna,4,7,JPWC017,-29100,ATXX009,14100,BRWC002,25200,PLXX040,-10200
2022-08-24,Vienna,4,8,JPWC011,-2000,FRXX004,9000,JPWC034,26900,IRWC001,-33900
